INFINITIVO,TERMINACIÓN,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abañar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ababillar,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abacorar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abadernar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abajar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalanzar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaldonar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalear,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalizar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aballar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalsamar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaluartar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abancalar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abandalizar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanderar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanderizar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abandonar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanear,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanicar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarajar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaratar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbechar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbetar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarcar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarcuzar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarloar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaroñar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarquillar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarracar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarraganar,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abarrajar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrancar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrenar,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
abarrer,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrotar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastardar,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
